date,championship,series_id,map_number,hawk_match_id,team1,team2,team1_heroes,team2_heroes,winner,delta,delta_favored_team,team1_odds,team2_odds
2024-01-07,BetBoom Dacha Dubai NA SA CQ,53781,1,109178,Nouns,Shopify Rebellion,Bloodseeker|Weaver|Magnus|Ember Spirit|Crystal Maiden,Lion|Legion Commander|Juggernaut|Timbersaw|Chen,Shopify Rebellion,-9.70,Shopify Rebellion,2.14,1.67
2024-01-07,BetBoom Dacha Dubai NA SA CQ,53781,2,109191,Nouns,Shopify Rebellion,Phoenix|Luna|Hoodwink|Pangolier|Magnus,Rubick|Kunkka|Queen of Pain|Windranger|Enchantress,Nouns,-2.19,Shopify Rebellion,2.02,1.74
2024-01-07,BetBoom Dacha Dubai NA SA CQ,53781,3,109193,Nouns,Shopify Rebellion,Centaur Warrunner|Hoodwink|Puck|Ursa|Enchantress,Kunkka|Death Prophet|Tiny|Sven|Phoenix,Nouns,-2.42,Shopify Rebellion,1.98,1.78
2024-01-07,BetBoom Dacha Dubai NA SA CQ,53752,1,109109,Heroic,Mad Kings,Troll Warlord|Batrider|Pangolier|Nature's Prophet|Doom,Keeper of the Light|Terrorblade|Legion Commander|Clockwerk|Grimstroke,Heroic,-18.28,Mad Kings,1.63,2.19
2024-01-07,BetBoom Dacha Dubai NA SA CQ,53751,1,109110,BOOM Esports,Los Magicards,Vengeful Spirit|Primal Beast|Juggernaut|Lion|Ember Spirit,Kunkka|Troll Warlord|Phoenix|Magnus|Rubick,BOOM Esports,16.41,BOOM Esports,1.20,4.23
2024-01-07,BetBoom Dacha Dubai EEU CQ,53774,1,109165,Virtus.pro,Klim Sani4,Nature's Prophet|Vengeful Spirit|Luna|Centaur Warrunner|Windranger,Ember Spirit|Juggernaut|Techies|Razor|Clockwerk,Klim Sani4,-6.47,Klim Sani4,1.33,3.14
2024-01-07,BetBoom Dacha Dubai EEU CQ,53774,2,109167,Virtus.pro,Klim Sani4,Faceless Void|Razor|Pangolier|Enchantress|Earthshaker,Grimstroke|Naga Siren|Lion|Ember Spirit|Mars,Virtus.pro,-5.28,Klim Sani4,1.37,2.94
2024-01-07,BetBoom Dacha Dubai EEU CQ,53774,3,109173,Virtus.pro,Klim Sani4,Enchantress|Puck|Centaur Warrunner|Pugna|Faceless Void,Techies|Doom|Ember Spirit|Vengeful Spirit|Luna,Virtus.pro,-3.17,Klim Sani4,1.32,3.24
2024-01-07,BetBoom Dacha Dubai NA SA CQ,53750,1,109108,Shopify Rebellion,DuBu,Outworld Destroyer|Weaver|Kunkka|Winter Wyvern|Troll Warlord,Phoenix|Tusk|Lina|Ember Spirit|Lone Druid,Shopify Rebellion,22.67,Shopify Rebellion,1.17,4.64
2024-01-07,BetBoom Dacha Dubai NA SA CQ,53749,1,109111,Nouns,Bulls,Batrider|Centaur Warrunner|Ember Spirit|Crystal Maiden|Ursa,Luna|Clockwerk|Nature's Prophet|Huskar|Primal Beast,Nouns,-3.79,Bulls,1.20,4.23
2024-01-07,BetBoom Dacha Dubai EEU CQ,53771,1,109155,L1ga Team,Chimera Esports,Beastmaster|Pugna|Terrorblade|Storm Spirit|Lion,Dark Willow|Outworld Destroyer|Razor|Io|Centaur Warrunner,L1ga Team,-3.93,Chimera Esports,1.45,2.63
2024-01-07,BetBoom Dacha Dubai EEU CQ,53771,2,109160,L1ga Team,Chimera Esports,Beastmaster|Pugna|Windranger|Tinker|Shadow Shaman,Dark Willow|Pudge|Phoenix|Clinkz|Meepo,Chimera Esports,-11.07,Chimera Esports,1.32,3.10
2024-01-07,BetBoom Dacha Dubai EEU CQ,53771,3,109162,L1ga Team,Chimera Esports,Meepo|Crystal Maiden|Visage|Tusk|Weaver,Elder Titan|Lion|Timbersaw|Huskar|Luna,L1ga Team,-17.41,Chimera Esports,1.53,2.40
2024-01-07,BetBoom Dacha Dubai EEU CQ,53748,1,109106,Klim Sani4,NextUp,Monkey King|Timbersaw|Gyrocopter|Rubick|Ember Spirit,Lion|Doom|Storm Spirit|Death Prophet|Juggernaut,Klim Sani4,-11.21,NextUp,1.22,3.99
2024-01-07,BetBoom Dacha Dubai CN SEA CQ,53765,1,109139,IHC Esports,Talon Esports,Bloodseeker|Dark Willow|Silencer|Mars|Ember Spirit,Beastmaster|Faceless Void|Batrider|Phoenix|Zeus,Talon Esports,18.46,IHC Esports,2.25,1.60
2024-01-07,BetBoom Dacha Dubai CN SEA CQ,53765,2,109153,IHC Esports,Talon Esports,Naga Siren|Techies|Centaur Warrunner|Ancient Apparition|Outworld Destroyer,Phoenix|Faceless Void|Ember Spirit|Lion|Death Prophet,IHC Esports,-3.40,Talon Esports,2.35,1.55
2024-01-07,BetBoom Dacha Dubai CN SEA CQ,53765,3,109158,IHC Esports,Talon Esports,Alchemist|Phoenix|Templar Assassin|Rubick|Tidehunter,Techies|Lina|Beastmaster|Abaddon|Ember Spirit,IHC Esports,25.42,IHC Esports,2.15,1.62
2024-01-07,BetBoom Dacha Dubai EEU CQ,53747,1,109105,Virtus.pro,Yellow Submarine,Batrider|Centaur Warrunner|Luna|Windranger|Undying,Shadow Demon|Timbersaw|Pangolier|Templar Assassin|Treant Protector,Virtus.pro,8.59,Virtus.pro,1.19,4.35
2024-01-07,BetBoom Dacha Dubai EEU CQ,53746,1,109104,Chimera Esports,One Move,Queen of Pain|Dark Willow|Doom|Vengeful Spirit|Windranger,Grimstroke|Batrider|Primal Beast|Lion|Terrorblade,Chimera Esports,15.41,Chimera Esports,2.60,1.46
2024-01-07,BetBoom Dacha Dubai CN SEA CQ,53764,1,109138,Azure Ray,Geek Fam,Pangolier|Viper|Techies|Windranger|Marci,Enchantress|Templar Assassin|Mirana|Doom|Ember Spirit,Azure Ray,11.87,Azure Ray,1.45,2.63
2024-01-07,BetBoom Dacha Dubai CN SEA CQ,53764,2,109144,Azure Ray,Geek Fam,Lina|Faceless Void|Mars|Lion|Chen,Keeper of the Light|Pangolier|Lifestealer|Broodmother|Weaver,Azure Ray,44.18,Azure Ray,1.38,2.90
2024-01-07,BetBoom Dacha Dubai EEU CQ,53745,1,109103,SIBE Team,L1ga Team,Crystal Maiden|Troll Warlord|Puck|Rubick|Timbersaw,Beastmaster|Luna|Enchantress|Dark Willow|Arc Warden,L1ga Team,-5.07,L1ga Team,3.79,1.24
2024-01-07,BetBoom Dacha Dubai CN SEA CQ,53738,1,109102,Talon Esports,G2 x iG,Doom|Techies|Ember Spirit|Morphling|Abaddon,Luna|Batrider|Magnus|Lina|Tusk,Talon Esports,4.09,Talon Esports,3.93,1.23
2024-01-07,BetBoom Dacha Dubai CN SEA CQ,53737,1,109107,Blacklist International,IHC Esports,Dark Willow|Monkey King|Batrider|Anti-Mage|Primal Beast,Techies|Vengeful Spirit|Puck|Morphling|Doom,IHC Esports,-4.90,IHC Esports,1.47,2.57
2024-01-07,BetBoom Dacha Dubai CN SEA CQ,53736,1,109101,Team Aster,Geek Fam,Dragon Knight|Techies|Juggernaut|Mars|Shadow Demon,Templar Assassin|Pugna|Naga Siren|Ember Spirit|Nature's Prophet,Geek Fam,1.71,Team Aster,2.69,1.43
2024-01-07,BetBoom Dacha Dubai CN SEA CQ,53735,1,109097,Azure Ray,Titan,Magnus|Zeus|Tusk|Techies|Luna,Lion|Outworld Destroyer|Mars|Morphling|Nature's Prophet,Azure Ray,2.46,Azure Ray,1.16,4.81
2024-01-08,BetBoom Dacha Dubai NA SA CQ,53820,1,109285,BOOM Esports,Bulls,Templar Assassin|Vengeful Spirit|Snapfire|Mars|Gyrocopter,Phoenix|Tusk|Lifestealer|Windranger|Puck,Bulls,-16.06,Bulls,1.36,2.99
2024-01-08,BetBoom Dacha Dubai NA SA CQ,53820,2,109298,BOOM Esports,Bulls,Storm Spirit|Timbersaw|Phantom Lancer|Vengeful Spirit|Nature's Prophet,Slardar|Monkey King|Queen of Pain|Phoenix|Grimstroke,BOOM Esports,0.07,BOOM Esports,1.61,2.23
2024-01-08,BetBoom Dacha Dubai NA SA CQ,53820,3,109300,BOOM Esports,Bulls,Weaver|Nature's Prophet|Lycan|Keeper of the Light|Lion,Ember Spirit|Earthshaker|Death Prophet|Winter Wyvern|Naga Siren,BOOM Esports,-24.93,Bulls,1.61,2.23
2024-01-08,BetBoom Dacha Dubai NA SA CQ,53787,1,109263,Los Magicards,Mad Kings,Templar Assassin|Phoenix|Leshrac|Rubick|Magnus,Lion|Huskar|Gyrocopter|Death Prophet|Abaddon,Mad Kings,-18.64,Mad Kings,2.20,1.58
2024-01-08,BetBoom Dacha Dubai NA SA CQ,53787,2,109282,Los Magicards,Mad Kings,Mars|Nature's Prophet|Puck|Tusk|Gyrocopter,Sven|Primal Beast|Tiny|Lion|Snapfire,Mad Kings,-3.14,Mad Kings,2.75,1.42
2024-01-08,BetBoom Dacha Dubai EEU CQ,53810,1,109267,Chimera Esports,NextUp,Puck|Slark|Chen|Lion|Magnus,Faceless Void|Razor|Enchantress|Tusk|Queen of Pain,Chimera Esports,24.20,Chimera Esports,1.69,2.09
2024-01-08,BetBoom Dacha Dubai EEU CQ,53810,2,109273,Chimera Esports,NextUp,Spirit Breaker|Faceless Void|Phoenix|Nature's Prophet|Windranger,Crystal Maiden|Juggernaut|Broodmother|Tiny|Puck,Chimera Esports,-10.34,NextUp,1.54,2.38
2024-01-08,BetBoom Dacha Dubai NA SA CQ,53786,1,109265,Bulls,DuBu,Undying|Tiny|Windranger|Luna|Puck,Vengeful Spirit|Keeper of the Light|Lone Druid|Pudge|Lion,Bulls,-4.76,DuBu,1.75,1.95
2024-01-08,BetBoom Dacha Dubai NA SA CQ,53786,2,109272,Bulls,DuBu,Slark|Mars|Windranger|Phoenix|Skywrath Mage,Abaddon|Weaver|Crystal Maiden|Void Spirit|Juggernaut,Bulls,-7.54,DuBu,1.61,2.23
2024-01-08,BetBoom Dacha Dubai EEU CQ,53808,1,109258,Klim Sani4,SIBE Team,Pangolier|Tiny|Razor|Phoenix|Juggernaut,Pudge|Windranger|Enchantress|Gyrocopter|Queen of Pain,Klim Sani4,-2.51,SIBE Team,1.45,2.60
2024-01-08,BetBoom Dacha Dubai EEU CQ,53808,2,109262,Klim Sani4,SIBE Team,Magnus|Chen|Lion|Faceless Void|Pangolier,Alchemist|Ember Spirit|Tiny|Vengeful Spirit|Ancient Apparition,Klim Sani4,-14.15,SIBE Team,1.48,2.54
2024-01-08,BetBoom Dacha Dubai CN SEA CQ,53800,1,109226,Geek Fam,Blacklist International,Mars|Bounty Hunter|Batrider|Lifestealer|Vengeful Spirit,Chen|Primal Beast|Techies|Windranger|Morphling,Geek Fam,-8.14,Blacklist International,2.25,1.60
2024-01-08,BetBoom Dacha Dubai CN SEA CQ,53800,2,109254,Geek Fam,Blacklist International,Omniknight|Keeper of the Light|Beastmaster|Batrider|Bounty Hunter,Enchantress|Mars|Windranger|Storm Spirit|Luna,Geek Fam,-24.96,Blacklist International,2.10,1.65
2024-01-08,BetBoom Dacha Dubai EEU CQ,53784,1,109185,Yellow Submarine,NextUp,Lion|Phoenix|Mars|Storm Spirit|Weaver,Juggernaut|Batrider|Beastmaster|Techies|Ember Spirit,NextUp,-2.23,NextUp,1.58,2.29
2024-01-08,BetBoom Dacha Dubai EEU CQ,53784,2,109251,Yellow Submarine,NextUp,Pangolier|Phoenix|Tusk|Centaur Warrunner|Troll Warlord,Snapfire|Ember Spirit|Nature's Prophet|Beastmaster|Lifestealer,NextUp,8.07,Yellow Submarine,1.65,2.15
2024-01-08,BetBoom Dacha Dubai CN SEA CQ,53796,1,109214,Talon Esports,Team Aster,Puck|Shadow Demon|Timbersaw|Templar Assassin|Vengeful Spirit,Lion|Morphling|Primal Beast|Centaur Warrunner|Grimstroke,Talon Esports,11.07,Talon Esports,1.30,3.30
2024-01-08,BetBoom Dacha Dubai CN SEA CQ,53796,2,109238,Talon Esports,Team Aster,Timbersaw|Templar Assassin|Shadow Demon|Meepo|Treant Protector,Centaur Warrunner|Lion|Morphling|Dragon Knight|Snapfire,Team Aster,24.84,Talon Esports,1.68,2.05
2024-01-08,BetBoom Dacha Dubai CN SEA CQ,53796,3,109246,Talon Esports,Team Aster,Timbersaw|Mars|Gyrocopter|Luna|Undying,Faceless Void|Dragon Knight|Grimstroke|Pudge|Lion,Talon Esports,6.90,Talon Esports,1.90,1.80
2024-01-08,BetBoom Dacha Dubai EEU CQ,53783,1,109184,SIBE Team,One Move,Enchantress|Storm Spirit|Doom|Windranger|Dark Willow,Tiny|Razor|Phoenix|Dragon Knight|Bloodseeker,SIBE Team,34.18,SIBE Team,1.90,1.84
2024-01-08,BetBoom Dacha Dubai EEU CQ,53783,2,109229,SIBE Team,One Move,Disruptor|Pangolier|Timbersaw|Luna|Shadow Demon,Razor|Silencer|Windranger|Juggernaut|Pudge,One Move,-5.44,One Move,1.80,1.95
2024-01-08,BetBoom Dacha Dubai EEU CQ,53783,3,109237,SIBE Team,One Move,Pudge|Enchantress|Ember Spirit|Windranger|Rubick,Phoenix|Juggernaut|Puck|Viper|Marci,SIBE Team,-7.71,One Move,1.85,1.85
2024-01-08,BetBoom Dacha Dubai CN SEA CQ,53770,1,109187,Blacklist International,G2 x iG,Windranger|Chen|Magnus|Centaur Warrunner|Lifestealer,Alchemist|Gyrocopter|Kunkka|Queen of Pain|Crystal Maiden,Blacklist International,-11.93,G2 x iG,2.57,1.53
2024-01-08,BetBoom Dacha Dubai CN SEA CQ,53770,2,109221,Blacklist International,G2 x iG,Marci|Dragon Knight|Kunkka|Nature's Prophet|Shadow Demon,Lina|Ember Spirit|Mars|Abaddon|Windranger,Blacklist International,1.22,Blacklist International,2.48,1.50
2024-01-08,BetBoom Dacha Dubai CN SEA CQ,53769,1,109181,Titan,Team Aster,Pudge|Templar Assassin|Windranger|Abaddon|Lion,Magnus|Troll Warlord|Puck|Rubick|Vengeful Spirit,Titan,0.72,Titan,1.67,2.12
2024-01-08,BetBoom Dacha Dubai CN SEA CQ,53769,2,109199,Titan,Team Aster,Techies|Slardar|Zeus|Windranger|Undying,Clinkz|Pudge|Tusk|Lion|Keeper of the Light,Team Aster,9.34,Titan,1.57,2.32
2024-01-08,BetBoom Dacha Dubai CN SEA CQ,53769,3,109208,Titan,Team Aster,Tusk|Vengeful Spirit|Luna|Void Spirit|Doom,Arc Warden|Centaur Warrunner|Anti-Mage|Gyrocopter|Lion,Team Aster,-7.18,Team Aster,1.85,1.85
