date,championship,series_id,map_number,hawk_match_id,team1,team2,team1_heroes,team2_heroes,winner,delta,delta_favored_team,team1_odds,team2_odds
2024-01-08,BetBoom Dacha Dubai EEU CQ,53783,1,109184,SIBE Team,One Move,Enchantress|Storm Spirit|Doom|Windranger|Dark Willow,Tiny|Razor|Phoenix|Dragon Knight|Bloodseeker,SIBE Team,34.18,SIBE Team,1.90,1.84
2024-01-11,BetBoom Dacha Dubai NA SA CQ,54109,1,109759,Nouns,Heroic,Meepo|Nature's Prophet|Tidehunter|Arc Warden|Vengeful Spirit,Troll Warlord|Lion|Winter Wyvern|Keeper of the Light|Underlord,Heroic,-35.49,Heroic,1.42,2.73
2024-01-12,BetBoom Dacha Dubai WEU CQ,54174,1,109864,KZ TEAM,Tundra Esports,Techies|Storm Spirit|Pudge|Faceless Void|Pugna,Chen|Invoker|Muerta|Timbersaw|Templar Assassin,Tundra Esports,39.26,KZ TEAM,4.20,1.20
2024-01-14,DreamLeague S22 NA CQ,54274,1,110099,Bammysoy,Fart Studios,Batrider|Faceless Void|Ember Spirit|Abaddon|Arc Warden,Broodmother|Dawnbreaker|Tiny|Lina|Spirit Breaker,Bammysoy,-35.12,Fart Studios,1.45,2.70
2024-01-14,DreamLeague S22 EEU CQ,54239,2,110079,L1ga Team,9Pandas,Earthshaker|Primal Beast|Grimstroke|Templar Assassin|Elder Titan,Shadow Demon|Ember Spirit|Chen|Naga Siren|Monkey King,L1ga Team,-85.64,9Pandas,1.60,2.25
2024-01-14,DreamLeague S22 NA CQ,54244,2,110027,GRIN Esports,No Bounty Hunter,Timbersaw|Vengeful Spirit|Brewmaster|Shadow Shaman|Lifestealer,Kunkka|Gyrocopter|Monkey King|Lion|Ember Spirit,No Bounty Hunter,30.85,GRIN Esports,2.02,1.74
2024-01-15,DreamLeague S22 MENA CQ,54320,2,110213,Hininy,Five Spirits,Tiny|Ember Spirit|Timbersaw|Luna|Vengeful Spirit,Ogre Magi|Keeper of the Light|Weaver|Brewmaster|Pugna,Hininy,-30.57,Five Spirits,1.06,9.06
2024-01-16,DreamLeague S22 WEU CQ,54329,2,110313,Team Secret,Team wkwkwk,Batrider|Naga Siren|Vengeful Spirit|Puck|Monkey King,Death Prophet|Luna|Primal Beast|Hoodwink|Pugna,Team Secret,-33.28,Team wkwkwk,1.32,3.24
2024-01-17,DreamLeague S22 SEA CQ,54387,5,110413,Aurora,TEAM Darleng,Tusk|Lone Druid|Phoenix|Meepo|Death Prophet,Dragon Knight|Marci|Broodmother|Vengeful Spirit|Lina,Aurora,-31.41,TEAM Darleng,1.35,2.90
2024-01-20,New Year Cup,54483,1,110646,Ardour,MAG.Nirvana,Lina|Morphling|Brewmaster|Rubick|Chen,Death Prophet|Enchantress|Troll Warlord|Keeper of the Light|Beastmaster,MAG.Nirvana,32.08,Ardour,3.39,1.29
2024-01-23,Blizzard Brawl New Year Decider,54650,2,110942,Polaris Esports,Mars International,Vengeful Spirit|Crystal Maiden|Juggernaut|Storm Spirit|Void Spirit,Pugna|Meepo|Abaddon|Ogre Magi|Death Prophet,Mars International,-44.04,Mars International,1.52,2.43
2024-01-27,ESL One Birmingham 2024 NA CQ,54997,2,111562,Bammysoy,Shopify Rebellion,Tidehunter|Drow Ranger|Techies|Winter Wyvern|Ember Spirit,Pangolier|Hoodwink|Omniknight|Chen|Windranger,Shopify Rebellion,30.94,Bammysoy,6.30,1.08
2024-01-29,ESL One Birmingham 2024 WEU CQ,55088,3,111834,Team Secret,Entity,Naga Siren|Enchantress|Ember Spirit|Earthshaker|Rubick,Alchemist|Techies|Meepo|Tidehunter|Hoodwink,Entity,-32.41,Entity,1.85,1.89
2024-01-29,ESL One Birmingham 2024 MENA CQ,55086,2,111810,Nigma Galaxy,PSG Quest,Kunkka|Faceless Void|Magnus|Shadow Demon|Chen,Templar Assassin|Keeper of the Light|Tiny|Mars|Nature's Prophet,PSG Quest,50.36,Nigma Galaxy,2.74,1.42
2024-01-30,ESL One Birmingham 2024 CN CQ,55155,3,111937,G2 x iG,Azure Ray,Mirana|Centaur Warrunner|Gyrocopter|Primal Beast|Chen,Lina|Enchantress|Enigma|Tiny|Naga Siren,G2 x iG,35.51,G2 x iG,2.04,1.72
2024-02-04,New Year Cup,55351,1,112468,Made in Philippines,Me Parb,Faceless Void|Chen|Rubick|Slardar|Brewmaster,Batrider|Naga Siren|Lina|Doom|Hoodwink,Me Parb,-34.12,Me Parb,1.60,2.25
2024-02-06,Blizzard Brawl New Year Decider,55457,2,112650,Team Freedom,Fortress Gaming,Luna|Vengeful Spirit|Timbersaw|Ogre Magi|Death Prophet,Keeper of the Light|Grimstroke|Magnus|Phantom Lancer|Lion,Team Freedom,-30.18,Fortress Gaming,1.56,2.33
2024-02-08,BetBoom Dacha Dubai 2024,55533,1,112834,Team Liquid,LGD Gaming,Enchantress|Pangolier|Slark|Timbersaw|Techies,Marci|Weaver|Queen of Pain|Lion|Mars,LGD Gaming,-32.63,LGD Gaming,1.55,2.35
2024-02-08,BetBoom Dacha Dubai 2024,55531,1,112833,Team Falcons,Aurora,Lion|Nature's Prophet|Mars|Sven|Storm Spirit,Techies|Dragon Knight|Dawnbreaker|Lone Druid|Shadow Demon,Aurora,-31.29,Aurora,1.45,2.80
2024-02-19,Games of the Future 2024,56013,3,114069,Geek Fam,BOOM Esports,Undying|Luna|Doom|Hoodwink|Pangolier,Techies|Medusa|Enigma|Lion|Primal Beast,BOOM Esports,-35.32,BOOM Esports,1.72,2.05
2024-02-20,EPL World AM S9,56103,2,114206,Los Motis,Invaders,Beastmaster|Queen of Pain|Clockwerk|Techies|Morphling,Timbersaw|Grimstroke|Kunkka|Medusa|Enchantress,Invaders,-33.89,Invaders,1.70,2.08
2024-02-20,EPL World AM S9,56103,3,114208,Los Motis,Invaders,Medusa|Primal Beast|Tusk|Grimstroke|Tidehunter,Magnus|Dark Willow|Dark Seer|Chen|Faceless Void,Invaders,-44.41,Invaders,1.71,2.06
2024-02-20,Games of the Future 2024,56085,1,114142,Invictus Gaming,Neon Esports,Chen|Medusa|Mars|Pangolier|Vengeful Spirit,Batrider|Primal Beast|Ancient Apparition|Puck|Alchemist,Neon Esports,-32.32,Neon Esports,1.25,3.80
2024-02-20,Games of the Future 2024,56085,2,114154,Invictus Gaming,Neon Esports,Naga Siren|Chen|Lion|Puck|Dragon Knight,Primal Beast|Winter Wyvern|Sniper|Rubick|Slark,Invictus Gaming,-46.80,Neon Esports,1.30,3.30
2024-02-21,Games of the Future 2024,56106,1,114195,Azure Ray,Geek Fam,Centaur Warrunner|Arc Warden|Huskar|Lion|Elder Titan,Rubick|Dragon Knight|Mirana|Templar Assassin|Naga Siren,Geek Fam,-33.24,Geek Fam,1.30,3.30
2024-02-21,Games of the Future 2024,56105,2,114268,Entity,Beastcoast,Morphling|Batrider|Timbersaw|Pangolier|Vengeful Spirit,Windranger|Bloodseeker|Tusk|Magnus|Grimstroke,Entity,-38.73,Beastcoast,1.22,4.05
2024-02-22,Ace Americas 2024 S1,56185,2,114428,Qhali,AcatSuki,Primal Beast|Grimstroke|Luna|Tiny|Techies,Lion|Phantom Assassin|Marci|Hoodwink|Magnus,Qhali,32.00,Qhali,2.49,1.50
2024-02-22,Opus League,56157,1,114327,Ardour,MAG.Nirvana,Shadow Demon|Slark|Centaur Warrunner|Vengeful Spirit|Storm Spirit,Zeus|Bloodseeker|Luna|Clockwerk|Batrider,MAG.Nirvana,36.62,Ardour,2.56,1.47
2024-02-23,Opus League,56164,1,114416,Ardour,Made in Philippines,Troll Warlord|Chen|Night Stalker|Winter Wyvern|Clockwerk,Techies|Mirana|Outworld Destroyer|Primal Beast|Faceless Void,Ardour,-36.05,Made in Philippines,1.60,2.25
2024-02-25,DreamLeague S 22,56259,1,114550,Team Falcons,Azure Ray,Doom|Slark|Crystal Maiden|Hoodwink|Pangolier,Tiny|Anti-Mage|Magnus|Leshrac|Enigma,Azure Ray,-39.75,Azure Ray,1.65,2.25
2024-02-28,DreamLeague S 22,56370,1,114781,Tundra Esports,1win Team,Elder Titan|Brewmaster|Tiny|Hoodwink|Luna,Muerta|Puck|Naga Siren|Mars|Phoenix,Tundra Esports,-68.41,1win Team,1.42,2.70
2024-02-29,Opus League,56499,1,115145,Team Freedom,MAG.Nirvana,Undying|Lion|Primal Beast|Queen of Pain|Medusa,Marci|Techies|Pudge|Timbersaw|Void Spirit,Team Freedom,30.30,Team Freedom,1.95,1.70
2024-03-01,NADCL S6 D1,56572,1,115323,Sporkface Killaz,copeDAO,Pangolier|Brewmaster|Troll Warlord|Chen|Hoodwink,Timbersaw|Enchantress|Alchemist|Naga Siren|Muerta,Sporkface Killaz,-54.29,copeDAO,1.65,2.16
2024-03-01,RES - Regional Series LATAM 1,56563,1,115304,AcatSuki,South Team,Tusk|Pangolier|Phantom Lancer|Batrider|Death Prophet,Enigma|Puck|Crystal Maiden|Tiny|Morphling,AcatSuki,-31.53,South Team,1.40,2.81
2024-03-02,European Pro League S17 div 2,56571,2,115386,Night Pulse,Passion UA,Leshrac|Undying|Faceless Void|Tiny|Magnus,Rubick|Windranger|Batrider|Kunkka|Phantom Lancer,Night Pulse,32.58,Night Pulse,2.65,1.44
2024-03-05,DreamLeague S 22,56642,2,115631,BetBoom Team,Gaimin Gladiators,Puck|Lion|Undying|Mars|Medusa,Anti-Mage|Centaur Warrunner|Razor|Gyrocopter|Crystal Maiden,Gaimin Gladiators,-31.38,Gaimin Gladiators,1.70,2.08
