date,championship,series_id,map_number,hawk_match_id,team1,team2,team1_heroes,team2_heroes,winner,delta,delta_favored_team,team1_odds,team2_odds
2024-11-17,ESL One Bangkok 2024: SA CQ,69809,1,145042,FUSION,Beastcoast,Tidehunter|Storm Spirit|Hoodwink|Bristleback|Crystal Maiden,Pangolier|Alchemist|Chen|Tiny|Dark Willow,Beastcoast,22.30,FUSION,2.80,1.38
2024-11-17,ESL One Bangkok 2024: SA CQ,69809,3,145067,FUSION,Beastcoast,Luna|Batrider|Bristleback|Ember Spirit|Chen,Crystal Maiden|Timbersaw|Lion|Storm Spirit|Alchemist,Beastcoast,-17.98,Beastcoast,2.79,1.41
2024-11-17,ESL One Bangkok 2024 NA CQ,69818,2,145062,Apex Genesis,Mouth Esports,Lycan|Crystal Maiden|Alchemist|Muerta|Invoker,Batrider|Clockwerk|Mars|Luna|Storm Spirit,Apex Genesis,-23.75,Mouth Esports,1.13,5.51
2024-11-17,ESL One Bangkok 2024 NA CQ,69812,1,145043,Atlantic City,Shopify Rebellion,Beastmaster|Tusk|Phoenix|Medusa|Invoker,Earth Spirit|Monkey King|Nyx Assassin|Enigma|Chen,Shopify Rebellion,-24.47,Shopify Rebellion,1.47,2.58
2024-11-18,EPL World AM S14,69932,1,145325,Apex Genesis,Iron Wild,Zeus|Dark Willow|Beastmaster|Morphling|Earth Spirit,Earthshaker|Omniknight|Shadow Demon|Gyrocopter|Primal Beast,Apex Genesis,-23.63,Iron Wild,1.33,3.10
2024-11-18,CCT Series 5,69926,1,145315,DMS,Zero Tenacity,Batrider|Medusa|Pangolier|Enigma|Ogre Magi,Anti-Mage|Magnus|Pugna|Dark Willow|Sand King,DMS,-30.90,Zero Tenacity,2.08,1.70
2024-11-18,CCT Series 5,69921,1,145291,One Move,Nemiga Gaming,Ogre Magi|Sand King|Medusa|Dawnbreaker|Muerta,Timbersaw|Chen|Luna|Shadow Demon|Razor,One Move,29.81,One Move,1.34,3.14
2024-11-18,CCT Series 5,69921,3,145307,One Move,Nemiga Gaming,Elder Titan|Invoker|Weaver|Doom|Muerta,Ogre Magi|Medusa|Puck|Shadow Demon|Monkey King,One Move,-21.90,Nemiga Gaming,1.44,2.67
2024-11-18,CCT Series 5,69887,1,145211,Palianytsia,Dragon Esports Club,Techies|Centaur Warrunner|Storm Spirit|Lion|Alchemist,Keeper of the Light|Dragon Knight|Monkey King|Tusk|Sand King,Dragon Esports Club,23.14,Palianytsia,1.98,1.77
2024-11-18,Asian Dragon Series: Regional Collision,69879,2,145250,Team Essence,Myth Avenue Gaming,Pugna|Tusk|Dawnbreaker|Sniper|Alchemist,Ogre Magi|Shadow Fiend|Phoenix|Magnus|Earth Spirit,Team Essence,-19.29,Myth Avenue Gaming,1.29,3.38
