date,championship,series_id,map_number,hawk_match_id,team1,team2,team1_heroes,team2_heroes,winner,delta,delta_favored_team,team1_odds,team2_odds
2024-01-07,BetBoom Dacha Dubai CN SEA CQ,53764,2,109144,Azure Ray,Geek Fam,Lina|Faceless Void|Mars|Lion|Chen,Keeper of the Light|Pangolier|Lifestealer|Broodmother|Weaver,Azure Ray,44.18,Azure Ray,1.38,2.90
2024-01-09,BetBoom Dacha Dubai CN SEA CQ,53816,3,109363,Talon Esports,Geek Fam,Pugna|Beastmaster|Morphling|Dragon Knight|Keeper of the Light,Gyrocopter|Naga Siren|Mirana|Troll Warlord|Kunkka,Geek Fam,-35.62,Geek Fam,2.00,1.72
2024-01-10,BetBoom Dacha Dubai CN SEA CQ,53993,3,109563,Azure Ray,Geek Fam,Brewmaster|Zeus|Luna|Dark Willow|Chen,Broodmother|Batrider|Mars|Beastmaster|Keeper of the Light,Geek Fam,49.92,Azure Ray,1.32,3.20
2024-01-11,BetBoom Dacha Dubai MENA CQ,54059,3,109721,Nigma Galaxy,Winter Bear,Magnus|Chen|Hoodwink|Windranger|Juggernaut,Dark Seer|Keeper of the Light|Slark|Tiny|Lich,Winter Bear,43.26,Nigma Galaxy,1.30,3.32
2024-01-13,BetBoom Dacha Dubai MENA CQ,54206,3,109987,PSG Quest,Nigma Galaxy,Earthshaker|Shadow Demon|Primal Beast|Naga Siren|Rubick,Tiny|Doom|Batrider|Vengeful Spirit|Arc Warden,PSG Quest,31.99,PSG Quest,1.33,3.15
2024-01-14,BetBoom Dacha Dubai WEU CQ,54263,2,110090,OG,Tundra Esports,Hoodwink|Mars|Slark|Ember Spirit|Io,Phoenix|Muerta|Ursa|Dark Seer|Rubick,OG,30.77,OG,1.72,2.05
2024-01-14,BetBoom Dacha Dubai MENA CQ,54262,3,110082,Team Falcons,PSG Quest,Slardar|Snapfire|Chen|Rubick|Ursa,Keeper of the Light|Magnus|Tiny|Lina|Treant Protector,PSG Quest,53.82,Team Falcons,1.38,2.80
2024-01-15,DreamLeague S22 WEU CQ,54266,2,110180,OG,KZ TEAM,Alchemist|Magnus|Void Spirit|Chen|Shadow Shaman,Terrorblade|Vengeful Spirit|Centaur Warrunner|Keeper of the Light|Earthshaker,KZ TEAM,36.66,OG,1.11,5.91
2024-01-16,DreamLeague S22 SA CQ,54337,3,110327,Thunder Awaken,BOOM Esports,Chen|Techies|Pangolier|Terrorblade|Mars,Phoenix|Ember Spirit|Alchemist|Vengeful Spirit|Dark Seer,BOOM Esports,-33.33,BOOM Esports,2.00,1.75
2024-01-16,DreamLeague S22 SEA CQ,54341,1,110261,Blacklist International,Bleed Esports,Pangolier|Lion|Naga Siren|Slardar|Vengeful Spirit,Ember Spirit|Batrider|Lifestealer|Keeper of the Light|Pudge,Bleed Esports,34.56,Blacklist International,1.30,3.30
2024-01-17,DreamLeague S22 SA CQ,54409,3,110452,BOOM Esports,Heroic,Chen|Techies|Storm Spirit|Doom|Lifestealer,Medusa|Centaur Warrunner|Grimstroke|Vengeful Spirit|Keeper of the Light,Heroic,38.63,BOOM Esports,1.78,2.00
2024-01-23,Blizzard Brawl New Year Decider,54650,1,110911,Polaris Esports,Mars International,Enchantress|Lycan|Weaver|Grimstroke|Magnus,Faceless Void|Vengeful Spirit|Tusk|Templar Assassin|Viper,Polaris Esports,31.32,Polaris Esports,1.68,2.11
2024-01-26,ESL One Birmingham 2024 EEU CQ,54908,2,111420,Virtus.pro,Chimera Esports,Crystal Maiden|Timbersaw|Huskar|Techies|Alchemist,Centaur Warrunner|Winter Wyvern|Morphling|Vengeful Spirit|Ember Spirit,Virtus.pro,34.13,Virtus.pro,1.33,3.14
2024-01-26,ESL One Birmingham 2024 SEA CQ,54938,1,111403,Execration,Aurora,Lion|Marci|Timbersaw|Lina|Puck,Templar Assassin|Pugna|Faceless Void|Rubick|Magnus,Aurora,-36.61,Aurora,3.25,1.31
2024-01-26,ESL One Birmingham 2024 EEU CQ,54905,2,111397,Team Spirit,Yellow Submarine,Pudge|Grimstroke|Void Spirit|Bane|Phantom Lancer,Rubick|Mars|Slark|Ember Spirit|Batrider,Yellow Submarine,32.21,Team Spirit,1.10,6.25
2024-01-26,ESL One Birmingham 2024 SEA CQ,54890,2,111387,Execration,Bleed Esports,Pangolier|Naga Siren|Hoodwink|Windranger|Clockwerk,Winter Wyvern|Spectre|Queen of Pain|Bounty Hunter|Centaur Warrunner,Bleed Esports,-33.05,Bleed Esports,2.89,1.38
2024-01-29,ESL One Birmingham 2024 SA CQ,55101,1,111831,Heroic,BOOM Esports,Gyrocopter|Hoodwink|Bloodseeker|Enigma|Dragon Knight,Undying|Doom|Sven|Pangolier|Grimstroke,Heroic,38.04,Heroic,1.75,2.01
2024-01-29,European Pro League S16,55097,3,111864,SIBE Team,NextUp,Techies|Shadow Demon|Void Spirit|Centaur Warrunner|Phantom Lancer,Batrider|Mars|Dark Willow|Morphling|Dragon Knight,NextUp,35.22,SIBE Team,1.61,2.13
2024-01-29,ESL One Birmingham 2024 WEU CQ,55087,1,111783,OG,Tundra Esports,Centaur Warrunner|Grimstroke|Primal Beast|Windranger|Faceless Void,Muerta|Sven|Magnus|Pangolier|Techies,OG,30.09,OG,1.64,2.20
2024-02-01,European Pro League S16,55228,1,112141,KZ TEAM,SIBE Team,Medusa|Chen|Queen of Pain|Hoodwink|Slardar,Templar Assassin|Tiny|Troll Warlord|Vengeful Spirit|Snapfire,KZ TEAM,37.09,KZ TEAM,1.33,3.01
2024-02-02,European Pro League S16,55292,1,112276,Team Klee,Ninja Penguins,Morphling|Puck|Vengeful Spirit|Timbersaw|Techies,Primal Beast|Weaver|Nature's Prophet|Hoodwink|Pangolier,Team Klee,33.68,Team Klee,1.77,1.98
2024-02-04,BetBoom Dacha Dubai 2024,55340,1,112462,Gaimin Gladiators,Team Liquid,Broodmother|Death Prophet|Vengeful Spirit|Hoodwink|Alchemist,Brewmaster|Pugna|Pangolier|Templar Assassin|Lion,Gaimin Gladiators,32.30,Gaimin Gladiators,1.70,2.15
2024-02-05,New Year Cup,55407,2,112568,Polaris Esports,Ardour,Viper|Tiny|Meepo|Jakiro|Sniper,Elder Titan|Sand King|Vengeful Spirit|Lina|Keeper of the Light,Ardour,-40.56,Ardour,3.15,1.33
2024-02-06,RES Regional Series: SEA #1,55451,2,112715,MAG.Nirvana,Batam Pride,Dragon Knight|Faceless Void|Zeus|Enchantress|Pudge,Hoodwink|Crystal Maiden|Meepo|Arc Warden|Centaur Warrunner,Batam Pride,-33.00,Batam Pride,2.88,1.34
2024-02-08,BetBoom Dacha Dubai 2024,55534,2,112943,Team Spirit,OG,Pudge|Kunkka|Shadow Demon|Vengeful Spirit|Naga Siren,Brewmaster|Techies|Dragon Knight|Windranger|Slark,Team Spirit,33.48,Team Spirit,1.30,3.40
2024-02-12,EPL World AM S9,55738,1,113326,Infinity,Lava Esports,Naga Siren|Grimstroke|Pangolier|Winter Wyvern|Centaur Warrunner,Dragon Knight|Visage|Bloodseeker|Enigma|Tusk,Lava Esports,34.40,Infinity,1.27,3.54
2024-02-16,NADCL S6 D1,55959,2,113856,Sporkface Killaz,The Honored Vanguard Veterans,Naga Siren|Hoodwink|Dark Seer|Ancient Apparition|Primal Beast,Bane|Grimstroke|Dragon Knight|Chen|Alchemist,Sporkface Killaz,74.30,Sporkface Killaz,1.53,2.40
2024-02-16,EPL World AM S9,55920,2,113851,Invaders,Universitario Esports,Mars|Templar Assassin|Lion|Viper|Medusa,Dragon Knight|Nature's Prophet|Queen of Pain|Morphling|Skywrath Mage,Invaders,30.33,Invaders,1.34,2.86
