date,championship,series_id,map_number,hawk_match_id,team1,team2,team1_heroes,team2_heroes,winner,delta,delta_favored_team,team1_odds,team2_odds,odds_provider,odds_timestamp
2025-10-26,European Pro League 31,86389,1,182475,Kalmychata,Most Wanted,Dragon Knight|Shadow Fiend|Jakiro|Marci|Dawnbreaker,Ringmaster|Dazzle|Terrorblade|Doom|Pangolier,Kalmychata,-12.28,Most Wanted,1.74,2.02,ggbet,2025-10-26T08:29:29.000000Z
2025-10-26,European Pro League 31,86389,2,182489,Kalmychata,Most Wanted,Dawnbreaker|Bane|Bounty Hunter|Monkey King|Gyrocopter,Batrider|Dragon Knight|Techies|Night Stalker|Puck,Kalmychata,9.57,Kalmychata,1.69,2.04,parimatch,2025-10-26T11:15:40.000000Z
2025-10-26,BLAST Slam V: China Closed Qualifier,86400,1,182474,Tearlaments,Roar Gaming,Naga Siren|Bristleback|Hoodwink|Juggernaut|Nature's Prophet,Snapfire|Spirit Breaker|Centaur Warrunner|Gyrocopter|Ember Spirit,Tearlaments,-8.96,Roar Gaming,1.52,2.40,betboom,2025-10-26T08:22:51.000000Z
2025-10-26,BLAST Slam V: China Closed Qualifier,86400,2,182481,Tearlaments,Roar Gaming,Disruptor|Pangolier|Troll Warlord|Enigma|Tusk,Warlock|Clockwerk|Bristleback|Marci|Leshrac,Roar Gaming,6.07,Tearlaments,1.52,2.40,betboom,2025-10-26T09:51:14.000000Z
2025-10-26,BLAST Slam V: China Closed Qualifier,86400,3,182486,Tearlaments,Roar Gaming,Nature's Prophet|Silencer|Muerta|Nyx Assassin|Mars,Storm Spirit|Warlock|Hoodwink|Bristleback|Abaddon,Tearlaments,8.13,Tearlaments,1.51,2.46,ggbet,2025-10-26T10:32:51.000000Z
2025-10-26,BLAST Slam V: China Closed Qualifier,86400,4,182493,Tearlaments,Roar Gaming,Enchantress|Centaur Warrunner|Muerta|Skywrath Mage|Void Spirit,Puck|Gyrocopter|Tusk|Dawnbreaker|Disruptor,Roar Gaming,18.10,Tearlaments,1.52,2.40,betboom,2025-10-26T11:42:11.000000Z
2025-10-26,BLAST Slam V: China Closed Qualifier,86400,5,182501,Tearlaments,Roar Gaming,Naga Siren|Timbersaw|Lion|Dragon Knight|Keeper of the Light,Juggernaut|Hoodwink|Axe|Silencer|Leshrac,Tearlaments,-12.60,Roar Gaming,1.52,2.40,betboom,2025-10-26T13:05:04.000000Z
2025-10-26,DreamLeague 27 Division 2 Stage 1,86381,1,182425,1win Team,Pipsqueak+4,Naga Siren|Hoodwink|Nature's Prophet|Gyrocopter|Underlord,Centaur Warrunner|Storm Spirit|Juggernaut|Jakiro|Snapfire,1win Team,-28.12,Pipsqueak+4,1.72,2.10,betboom,2025-10-25T19:07:41.000000Z
2025-10-26,DreamLeague 27 Division 2 Stage 1,86381,2,182480,1win Team,Pipsqueak+4,Naga Siren|Axe|Puck|Terrorblade|Snapfire,Dazzle|Pudge|Venomancer|Dragon Knight|Tusk,1win Team,9.52,1win Team,1.50,2.48,ggbet,2025-10-26T09:51:06.000000Z
2025-10-26,EPL World Series: Southeast Asia Season 9,86372,1,182464,Ivory,Carstensz Esports,Pangolier|Dragon Knight|Disruptor|Warlock|Axe,Ringmaster|Kunkka|Templar Assassin|Centaur Warrunner|Snapfire,Carstensz Esports,8.33,Ivory,1.23,3.71,ggbet,2025-10-26T07:13:47.000000Z
2025-10-26,EPL World Series: Southeast Asia Season 9,86372,2,182469,Ivory,Carstensz Esports,Nyx Assassin|Dragon Knight|Ringmaster|Juggernaut|Mars,Void Spirit|Phoenix|Lifestealer|Centaur Warrunner|Snapfire,Ivory,-1.04,Carstensz Esports,1.32,2.90,betboom,2025-10-26T08:00:36.000000Z
2025-10-26,BLAST Slam V: China Closed Qualifier,86373,1,182460,Roar Gaming,Thriving,Shadow Fiend|Jakiro|Primal Beast|Spirit Breaker|Morphling,Viper|Bounty Hunter|Lycan|Tusk|Gyrocopter,Roar Gaming,4.13,Roar Gaming,1.31,3.09,ggbet,2025-10-26T06:00:50.000000Z
2025-10-26,BLAST Slam V: China Closed Qualifier,86373,2,182465,Roar Gaming,Thriving,Mars|Ursa|Bounty Hunter|Nature's Prophet|Crystal Maiden,Pangolier|Spirit Breaker|Lycan|Morphling|Snapfire,Roar Gaming,11.25,Roar Gaming,1.20,3.95,ggbet,2025-10-26T07:13:59.000000Z
2025-10-26,EPL World Series: Southeast Asia Season 9,86380,1,182436,Kopite,The MongolZ,Venomancer|Pudge|Enchantress|Nature's Prophet|Troll Warlord,Pangolier|Dawnbreaker|Pugna|Tusk|Ursa,Kopite,1.06,Kopite,1.85,1.78,betboom,2025-10-25T21:59:25.000000Z
2025-10-26,EPL World Series: Southeast Asia Season 9,86380,2,182452,Kopite,The MongolZ,Snapfire|Night Stalker|Bounty Hunter|Leshrac|Terrorblade,Jakiro|Bristleback|Tusk|Puck|Ursa,Kopite,8.24,Kopite,1.77,1.92,ggbet,2025-10-26T04:44:45.000000Z
