date,championship,series_id,map_number,hawk_match_id,team1,team2,team1_heroes,team2_heroes,winner,delta,delta_favored_team,team1_odds,team2_odds
2024-01-07,BetBoom Dacha Dubai CN SEA CQ,53764,2,109144,Azure Ray,Geek Fam,Lina|Faceless Void|Mars|Lion|Chen,Keeper of the Light|Pangolier|Lifestealer|Broodmother|Weaver,Azure Ray,44.18,Azure Ray,1.38,2.90
2024-01-08,BetBoom Dacha Dubai EEU CQ,53783,1,109184,SIBE Team,One Move,Enchantress|Storm Spirit|Doom|Windranger|Dark Willow,Tiny|Razor|Phoenix|Dragon Knight|Bloodseeker,SIBE Team,34.18,SIBE Team,1.90,1.84
2024-01-09,BetBoom Dacha Dubai CN SEA CQ,53816,3,109363,Talon Esports,Geek Fam,Pugna|Beastmaster|Morphling|Dragon Knight|Keeper of the Light,Gyrocopter|Naga Siren|Mirana|Troll Warlord|Kunkka,Geek Fam,-35.62,Geek Fam,2.00,1.72
2024-01-10,BetBoom Dacha Dubai CN SEA CQ,53993,3,109563,Azure Ray,Geek Fam,Brewmaster|Zeus|Luna|Dark Willow|Chen,Broodmother|Batrider|Mars|Beastmaster|Keeper of the Light,Geek Fam,49.92,Azure Ray,1.32,3.20
2024-01-11,BetBoom Dacha Dubai NA SA CQ,54109,1,109759,Nouns,Heroic,Meepo|Nature's Prophet|Tidehunter|Arc Warden|Vengeful Spirit,Troll Warlord|Lion|Winter Wyvern|Keeper of the Light|Underlord,Heroic,-35.49,Heroic,1.42,2.73
2024-01-11,BetBoom Dacha Dubai MENA CQ,54059,3,109721,Nigma Galaxy,Winter Bear,Magnus|Chen|Hoodwink|Windranger|Juggernaut,Dark Seer|Keeper of the Light|Slark|Tiny|Lich,Winter Bear,43.26,Nigma Galaxy,1.30,3.32
2024-01-12,BetBoom Dacha Dubai WEU CQ,54174,1,109864,KZ TEAM,Tundra Esports,Techies|Storm Spirit|Pudge|Faceless Void|Pugna,Chen|Invoker|Muerta|Timbersaw|Templar Assassin,Tundra Esports,39.26,KZ TEAM,4.20,1.20
2024-01-13,BetBoom Dacha Dubai MENA CQ,54206,3,109987,PSG Quest,Nigma Galaxy,Earthshaker|Shadow Demon|Primal Beast|Naga Siren|Rubick,Tiny|Doom|Batrider|Vengeful Spirit|Arc Warden,PSG Quest,31.99,PSG Quest,1.33,3.15
2024-01-14,DreamLeague S22 NA CQ,54274,1,110099,Bammysoy,Fart Studios,Batrider|Faceless Void|Ember Spirit|Abaddon|Arc Warden,Broodmother|Dawnbreaker|Tiny|Lina|Spirit Breaker,Bammysoy,-35.12,Fart Studios,1.45,2.70
2024-01-14,BetBoom Dacha Dubai WEU CQ,54263,2,110090,OG,Tundra Esports,Hoodwink|Mars|Slark|Ember Spirit|Io,Phoenix|Muerta|Ursa|Dark Seer|Rubick,OG,30.77,OG,1.72,2.05
2024-01-14,BetBoom Dacha Dubai MENA CQ,54262,3,110082,Team Falcons,PSG Quest,Slardar|Snapfire|Chen|Rubick|Ursa,Keeper of the Light|Magnus|Tiny|Lina|Treant Protector,PSG Quest,53.82,Team Falcons,1.38,2.80
2024-01-14,DreamLeague S22 EEU CQ,54239,2,110079,L1ga Team,9Pandas,Earthshaker|Primal Beast|Grimstroke|Templar Assassin|Elder Titan,Shadow Demon|Ember Spirit|Chen|Naga Siren|Monkey King,L1ga Team,-85.64,9Pandas,1.60,2.25
2024-01-14,DreamLeague S22 NA CQ,54244,2,110027,GRIN Esports,No Bounty Hunter,Timbersaw|Vengeful Spirit|Brewmaster|Shadow Shaman|Lifestealer,Kunkka|Gyrocopter|Monkey King|Lion|Ember Spirit,No Bounty Hunter,30.85,GRIN Esports,2.02,1.74
2024-01-15,DreamLeague S22 MENA CQ,54320,2,110213,Hininy,Five Spirits,Tiny|Ember Spirit|Timbersaw|Luna|Vengeful Spirit,Ogre Magi|Keeper of the Light|Weaver|Brewmaster|Pugna,Hininy,-30.57,Five Spirits,1.06,9.06
2024-01-15,DreamLeague S22 WEU CQ,54266,2,110180,OG,KZ TEAM,Alchemist|Magnus|Void Spirit|Chen|Shadow Shaman,Terrorblade|Vengeful Spirit|Centaur Warrunner|Keeper of the Light|Earthshaker,KZ TEAM,36.66,OG,1.11,5.91
2024-01-16,DreamLeague S22 SA CQ,54337,3,110327,Thunder Awaken,BOOM Esports,Chen|Techies|Pangolier|Terrorblade|Mars,Phoenix|Ember Spirit|Alchemist|Vengeful Spirit|Dark Seer,BOOM Esports,-33.33,BOOM Esports,2.00,1.75
2024-01-16,DreamLeague S22 WEU CQ,54329,2,110313,Team Secret,Team wkwkwk,Batrider|Naga Siren|Vengeful Spirit|Puck|Monkey King,Death Prophet|Luna|Primal Beast|Hoodwink|Pugna,Team Secret,-33.28,Team wkwkwk,1.32,3.24
2024-01-16,DreamLeague S22 SEA CQ,54341,1,110261,Blacklist International,Bleed Esports,Pangolier|Lion|Naga Siren|Slardar|Vengeful Spirit,Ember Spirit|Batrider|Lifestealer|Keeper of the Light|Pudge,Bleed Esports,34.56,Blacklist International,1.30,3.30
2024-01-17,DreamLeague S22 SA CQ,54409,3,110452,BOOM Esports,Heroic,Chen|Techies|Storm Spirit|Doom|Lifestealer,Medusa|Centaur Warrunner|Grimstroke|Vengeful Spirit|Keeper of the Light,Heroic,38.63,BOOM Esports,1.78,2.00
2024-01-17,DreamLeague S22 SEA CQ,54387,5,110413,Aurora,TEAM Darleng,Tusk|Lone Druid|Phoenix|Meepo|Death Prophet,Dragon Knight|Marci|Broodmother|Vengeful Spirit|Lina,Aurora,-31.41,TEAM Darleng,1.35,2.90
2024-01-18,European Pro League S16,54379,3,110510,Team Klee,Ninja Penguins,Alchemist|Centaur Warrunner|Templar Assassin|Enchantress|Lion,Tiny|Invoker|Magnus|Techies|Faceless Void,Team Klee,31.76,Team Klee,1.87,1.87
2024-01-20,New Year Cup,54483,1,110646,Ardour,MAG.Nirvana,Lina|Morphling|Brewmaster|Rubick|Chen,Death Prophet|Enchantress|Troll Warlord|Keeper of the Light|Beastmaster,MAG.Nirvana,32.08,Ardour,3.39,1.29
2024-01-23,Blizzard Brawl New Year Decider,54650,1,110911,Polaris Esports,Mars International,Enchantress|Lycan|Weaver|Grimstroke|Magnus,Faceless Void|Vengeful Spirit|Tusk|Templar Assassin|Viper,Polaris Esports,31.32,Polaris Esports,1.68,2.11
2024-01-23,Blizzard Brawl New Year Decider,54650,2,110942,Polaris Esports,Mars International,Vengeful Spirit|Crystal Maiden|Juggernaut|Storm Spirit|Void Spirit,Pugna|Meepo|Abaddon|Ogre Magi|Death Prophet,Mars International,-44.04,Mars International,1.52,2.43
2024-01-26,ESL One Birmingham 2024 EEU CQ,54908,2,111420,Virtus.pro,Chimera Esports,Crystal Maiden|Timbersaw|Huskar|Techies|Alchemist,Centaur Warrunner|Winter Wyvern|Morphling|Vengeful Spirit|Ember Spirit,Virtus.pro,34.13,Virtus.pro,1.33,3.14
2024-01-26,ESL One Birmingham 2024 SEA CQ,54938,1,111403,Execration,Aurora,Lion|Marci|Timbersaw|Lina|Puck,Templar Assassin|Pugna|Faceless Void|Rubick|Magnus,Aurora,-36.61,Aurora,3.25,1.31
2024-01-26,ESL One Birmingham 2024 EEU CQ,54905,2,111397,Team Spirit,Yellow Submarine,Pudge|Grimstroke|Void Spirit|Bane|Phantom Lancer,Rubick|Mars|Slark|Ember Spirit|Batrider,Yellow Submarine,32.21,Team Spirit,1.10,6.25
2024-01-26,ESL One Birmingham 2024 SEA CQ,54890,2,111387,Execration,Bleed Esports,Pangolier|Naga Siren|Hoodwink|Windranger|Clockwerk,Winter Wyvern|Spectre|Queen of Pain|Bounty Hunter|Centaur Warrunner,Bleed Esports,-33.05,Bleed Esports,2.89,1.38
2024-01-27,ESL One Birmingham 2024 NA CQ,54997,2,111562,Bammysoy,Shopify Rebellion,Tidehunter|Drow Ranger|Techies|Winter Wyvern|Ember Spirit,Pangolier|Hoodwink|Omniknight|Chen|Windranger,Shopify Rebellion,30.94,Bammysoy,6.30,1.08
2024-01-29,ESL One Birmingham 2024 SA CQ,55101,1,111831,Heroic,BOOM Esports,Gyrocopter|Hoodwink|Bloodseeker|Enigma|Dragon Knight,Undying|Doom|Sven|Pangolier|Grimstroke,Heroic,38.04,Heroic,1.75,2.01
2024-01-29,European Pro League S16,55097,3,111864,SIBE Team,NextUp,Techies|Shadow Demon|Void Spirit|Centaur Warrunner|Phantom Lancer,Batrider|Mars|Dark Willow|Morphling|Dragon Knight,NextUp,35.22,SIBE Team,1.61,2.13
